Date,Campaign,Ad,Site (DCM),Placement,Ad Type,Creative,Click-through URL,Clicks,Impressions,Click Rate
08/30/2017,USM_FY18,300x250_Pandora_Veronica,Pandora,USMFY18_Pandora_300x250_Elliot,Standard,Veronica_300x250,(not set),1,1214,0.08
11/14/2017,USM_FY18,728x90_SJ_Nate,Sunjournal.com,USMFY18_SJ_728x90,Standard,Nate_728x90,(not set),1,1214,0.08
01/21/2018,USM_FY18,DBM_Video_Nate_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,1,1214,0.08
03/23/2018,USM_FY18,728x90_DBM_Elliot,doubleclick.com/bidmanager,USMFY18_DBM_728x90,Standard,728x90_USM-Refresh_Elliot-B,(not set),1,1214,0.08
04/16/2018,USM_FY18,320x50_DBM_Kusow,doubleclick.com/bidmanager,USMFY18_DBM_320x50,Standard,USM-FY18_Kusow_320x50_B,(not set),1,1214,0.08
04/18/2018,USM_FY18,160x600_DBM_Danica,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Danica-A,(not set),1,1214,0.08
12/09/2017,USM_FY18,DBM_Video_Veronica_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,1,1215,0.08
04/27/2018,USM_FY18,160x600_DBM_Kusow,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Kusow-B,(not set),1,1216,0.08
01/26/2018,USM_FY18,DBM_Video_Veronica_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,1,1217,0.08
05/11/2018,USM_FY18,160x600_DBM_Danica,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Danica-A,(not set),1,1218,0.08
10/08/2017,USM_FY18,320x50_MaineToday_Veronica,Mainetoday.com - Portland Press Herald,USMFY18_MaineToday_320x50,Standard,USM-FY18_Veronica_320x50_static,(not set),1,1219,0.08
03/23/2018,USM_FY18,728x90_DBM_Danica,doubleclick.com/bidmanager,USMFY18_DBM_728x90,Standard,728x90_USM-Refresh_Danica-B,(not set),1,1220,0.08
12/19/2017,USM_FY18,DBM_Video_Nate_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,1,1223,0.08
04/18/2018,USM_FY18,USMFY18_Summer_DBM_300x600,doubleclick.com/bidmanager,USMFY18_Summer_DBM_300x600,Standard,USM-FY18_SummerSession_300x600,(not set),1,1223,0.08
12/19/2017,USM_FY18,DBM_Video_Lauren_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USMFY18_Lauren_30sec,http://usm.maine.edu/welcome,1,1225,0.08
12/12/2017,USM_FY18,DBM_Video_Nate_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,1,1226,0.08
08/19/2017,USM_FY18,160x600_DBM_Nate,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,Nate_160x600,(not set),1,1227,0.08
03/08/2018,USM_FY18,160x600_DBM_Kusow,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Kusow-A,(not set),1,1227,0.08
11/14/2017,USM_FY18,728x90_SJ_Veronica,Sunjournal.com,USMFY18_SJ_728x90,Standard,Veronica_728x90,(not set),1,1228,0.08
12/21/2017,USM_FY18,DBM_Video_Lauren_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USMFY18_Lauren_30sec,http://usm.maine.edu/welcome,1,1230,0.08
03/22/2018,USM_FY18,160x600_DBM_Elliot,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Elliot-B,(not set),1,1230,0.08
04/25/2018,USM_FY18,160x600_DBM_Danica,doubleclick.com/bidmanager,USMFY18_DBM_160x600,Standard,160x600_USM-Refresh_Danica-A,(not set),1,1231,0.08
12/14/2017,USM_FY18,DBM_Video_Veronica_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,1,1233,0.08
12/10/2017,USM_FY18,DBM_Video_Veronica_30sec,doubleclick.com/bidmanager,USMFY18_DBM_Lauren_VIDEO,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,1,1234,0.08
10/02/2017,USM_FY18,300x600_DBM_Veronica,doubleclick.com/bidmanager,USMFY18_DBM_300x600,Standard,Veronica_300x600,(not set),1,1235,0.08
